"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,015,610,302,010",2010,Pomfret,871.2,37,4247
"9,003,447,002,009",2009,Manchester,3789.88,2194,57891
"9,011,068,202,008",2008,Bozrah,1399.14,36,2573
"9,009,800,702,010",2010,Waterbury,4541.25,5012,110366
"9,005,797,202,006",2006,Washington,502.09,18,3585
"9,015,599,802,010",2010,Plainfield,402.47,62,15405
"9,009,787,402,010",2010,Wallingford,1807.91,816,45135
"9,011,570,402,010",2010,Old Lyme,697.09,53,7603
"9,015,405,001,999",1999,Killingly,2191.6,361,16472
"9,007,618,002,010",2010,Portland,872.95,83,9508
"9,009,465,202,008",2008,Meriden,3670.68,2215,60343
"9,003,101,002,005",2005,Burlington,,,8746
"9,011,802,802,010",2010,Waterford,2818.06,550,19517
"9,009,800,702,006",2006,Waterbury,5907.74,6447,109128
"9,009,548,702,010",2010,North Haven,2577.51,621,24093
"9,013,449,102,009",2009,Mansfield,870.54,226,25961
"9,005,795,102,010",2010,Warren,410.68,6,1461
"9,007,573,202,010",2010,Old Saybrook,3036.52,311,10242
"9,011,802,802,006",2006,Waterford,3035.47,588,19371
"9,003,521,402,010",2010,Newington,2768.14,846,30562
"9,011,786,002,003",2003,Voluntown,509.6,13,2551
"9,005,804,902,010",2010,Watertown,1941.01,437,22514
"9,003,713,902,000",2000,South Windsor,1052.76,257,24412
"9,009,469,402,008",2008,Middlebury,884.35,65,7350
"9,005,797,202,010",2010,Washington,1062.05,38,3578
"9,005,109,402,005",2005,Canaan,,,1158
"9,005,804,902,006",2006,Watertown,2047.54,454,22173
"9,009,622,902,010",2010,Prospect,839.98,79,9405
"9,007,470,802,008",2008,Middlefield,1232.6,54,4381
"9,003,458,202,009",2009,Marlborough,789.27,50,6335
"9,015,121,302,005",2005,Canterbury,,,4912
"9,013,010,801,998",1998,Andover,724.64,22,3036
"9,001,560,602,010",2010,Norwalk,2605.05,2230,85603
"9,009,465,202,009",2009,Meriden,3738.9,2266,60606
"9,003,825,902,006",2006,West Hartford,2599.53,1648,63396
"9,005,534,702,010",2010,Norfolk,819.19,14,1709
"9,007,473,602,008",2008,Middletown,3728.18,1743,46752
"9,009,828,702,010",2010,West Haven,3289.9,1828,55564
"9,007,573,202,000",2000,Old Saybrook,2913.09,302,10367
"9,009,469,402,009",2009,Middlebury,750.37,56,7463
"9,009,012,201,998",1998,Ansonia,3050.56,566,18554
"9,003,122,702,005",2005,Canton,,,9566
"9,009,828,702,006",2006,West Haven,3603.4,1956,54282
"9,001,634,802,010",2010,Redding,818.96,75,9158
"9,009,475,352,008",2008,Milford,3903.7,2056,52668
