"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,015,867,901,999",1999,Windham,,,
"9,003,870,001,999",1999,Windsor,,,
"9,005,526,301,999",1999,New Milford,,,
"9,015,014,301,999",1999,Ashford,,,
"9,005,172,402,005",2005,Cornwall,,,
"9,009,073,102,003",2003,Branford,6581.9,176,2674
"9,005,494,602,003",2003,Morris,2482.27,7,282
"9,007,618,002,009",2009,Portland,1299.91,14,1077
"9,001,089,802,002",2002,Brookfield,,,
"9,009,877,001,998",1998,Woodbridge,,,
"9,003,248,002,004",2004,East Windsor,8849.56,90,1017
"9,015,091,902,001",2001,Brooklyn,,,
